country,country_code,Year,carbon_intensity,co2_per_capita,co2_total_mt,gdp_constant_2015_usd,urban_population_growth,urban_population_pct
South Africa,ZAF,2006,1.55944963624569,8.81243167639557,440.6064,282539679229.874,2.19076196352699,60.5276465215157
South Africa,ZAF,2007,1.54509590775891,9.10281000552084,459.9521,297685145427.081,2.13370315008132,61.1840533154988
South Africa,ZAF,2008,1.58837683687104,9.54569945858325,487.9246,307184409060.741,2.10508046433246,61.7692983894896
South Africa,ZAF,2009,1.51076653219144,8.83353970564321,456.9459,302459639039.778,1.98402740142049,62.2592839131287
South Africa,ZAF,2010,1.48996576272868,8.87117430020844,464.3532,311653604140.269,1.77644102111011,62.6299120560569
South Africa,ZAF,2011,1.38081652757273,8.37758623633968,443.9719,321528523981.702,1.58810792630001,62.850627754452
South Africa,ZAF,2012,1.40106085192151,8.57667504044573,461.2756,329233094599.263,1.65129324023432,62.9616560303263
South Africa,ZAF,2013,1.40802152358574,8.68872722515024,475.0891,337416077838.151,1.79667637726867,63.0524024097034
South Africa,ZAF,2014,1.42203336757559,8.75262375978144,486.6007,342186555600.731,1.79272657639382,63.1352327065742
South Africa,ZAF,2015,1.33329866280557,8.14948651738695,462.2677,346709790458.563,2.12766676013557,63.2096349937231
South Africa,ZAF,2016,1.31856053552083,8.03701551903542,460.1959,349013858372.625,1.04403234165514,63.2750973439347
South Africa,ZAF,2017,1.33005611747563,8.14751418587147,469.5833,353055253707.071,0.742317413298805,63.3311078299936
South Africa,ZAF,2018,1.32036295938364,8.077016906198,473.4182,358551560868.533,1.7550496718782,63.3771545246841
South Africa,ZAF,2019,1.32841845332356,8.01412233375962,477.5446,359483563936.676,1.70568579598025,63.4127255007908
South Africa,ZAF,2020,1.33664962196747,7.4445834618028,450.8617,337307318679.639,1.6609247061112,63.4373088310982
South Africa,ZAF,2021,1.26821799421769,7.29340675223128,448.5635,353695896167.047,1.56117901568083,63.4503925883909
South Africa,ZAF,2022,1.18935542791345,6.88263936192025,429.3281,360975440918.611,1.45537677352059,63.4766699210327
South Africa,ZAF,2023,1.17418022393998,6.75922774879049,427.2669,363885280375.697,1.49448180148783,63.5823705163545
South Africa,ZAF,2024,1.20319820271122,6.87684962627712,440.1678,365831497261.341,1.42147218614851,63.6917984858172
